match_id,tournament_id,group_id,match_name,stage_name,replay,match_date,match_time,stadium_id,home_team_id,away_team_id,home_team_score,away_team_score,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties
M-2014-25,WC-2014,128.0,Switzerland vs France,group stage,0,2014-06-20,16:00,S-021,T-75,T-30,2,5,0,0,0,0
M-2014-26,WC-2014,128.0,Honduras vs Ecuador,group stage,0,2014-06-20,19:00,S-011,T-35,T-25,1,2,0,0,0,0
M-2014-27,WC-2014,129.0,Argentina vs Iran,group stage,0,2014-06-21,13:00,S-008,T-03,T-38,1,0,0,0,0,0
M-2014-28,WC-2014,130.0,Germany vs Ghana,group stage,0,2014-06-21,16:00,S-013,T-31,T-32,2,2,0,0,0,0
M-2014-29,WC-2014,129.0,Nigeria vs Bosnia and Herzegovina,group stage,0,2014-06-21,18:00,S-010,T-50,T-08,1,0,0,0,0,0
M-2014-30,WC-2014,131.0,Belgium vs Russia,group stage,0,2014-06-22,13:00,S-020,T-06,T-62,1,0,0,0,0,0
M-2014-31,WC-2014,131.0,South Korea vs Algeria,group stage,0,2014-06-22,16:00,S-016,T-71,T-01,2,4,0,0,0,0
M-2014-32,WC-2014,130.0,United States vs Portugal,group stage,0,2014-06-22,18:00,S-014,T-83,T-58,2,2,0,0,0,0
M-2014-33,WC-2014,125.0,Australia vs Spain,group stage,0,2014-06-23,13:00,S-011,T-04,T-73,0,3,0,0,0,0
M-2014-34,WC-2014,125.0,Netherlands vs Chile,group stage,0,2014-06-23,13:00,S-022,T-48,T-13,2,0,0,0,0,0
M-2014-35,WC-2014,124.0,Cameroon vs Brazil,group stage,0,2014-06-23,17:00,S-009,T-11,T-09,1,4,0,0,0,0
