player_appointment_id,tournament_id,team_id,player_id,shirt_number
PA-6727,WC-1998,T-61,P-04888,8
PA-6728,WC-1998,T-61,P-67833,9
PA-6729,WC-1998,T-61,P-30739,10
PA-6730,WC-1998,T-61,P-70680,11
PA-6731,WC-1998,T-61,P-44978,12
PA-6732,WC-1998,T-61,P-16780,13
PA-6733,WC-1998,T-61,P-27750,14
PA-6734,WC-1998,T-61,P-66588,15
PA-6735,WC-1998,T-61,P-53546,16
PA-6736,WC-1998,T-61,P-54322,17
PA-6737,WC-1998,T-61,P-48638,18
PA-6738,WC-1998,T-61,P-44448,19
PA-6739,WC-1998,T-61,P-79864,20
PA-6740,WC-1998,T-61,P-43055,21
